15; 80; 1; 800
55; 80; 1; 800
95; 80; 1; 800
135; 80; 1; 800
175; 80; 1; 800
215; 80; 1; 800
255; 80; 1; 800
295; 80; 1; 800
335; 80; 1; 800
375; 80; 1; 800
415; 80; 1; 800
455; 80; 1; 800
15; 104; 5; 700
55; 104; 5; 700
95; 104; 5; 700
135; 104; 5; 700
175; 104; 5; 700
215; 104; 5; 700
255; 104; 5; 700
295; 104; 5; 700
335; 104; 5; 700
375; 104; 5; 700
415; 104; 5; 700
455; 104; 5; 700
15; 128; 6; 600
55; 128; 6; 600
95; 128; 6; 600
135; 128; 6; 600
175; 128; 6; 600
215; 128; 6; 600
255; 128; 6; 600
295; 128; 6; 600
335; 128; 6; 600
375; 128; 6; 600
415; 128; 6; 600
455; 128; 6; 600
15; 152; 3; 500
55; 152; 3; 500
95; 152; 3; 500
135; 152; 3; 500
175; 152; 3; 500
215; 152; 3; 500
255; 152; 3; 500
295; 152; 3; 500
335; 152; 3; 500
375; 152; 3; 500
415; 152; 3; 500
455; 152; 3; 500
15; 176; 8; 400
55; 176; 8; 400
95; 176; 8; 400
135; 176; 8; 400
175; 176; 8; 400
215; 176; 8; 400
255; 176; 8; 400
295; 176; 8; 400
335; 176; 8; 400
375; 176; 8; 400
415; 176; 8; 400
455; 176; 8; 400
15; 200; 2; 300
55; 200; 2; 300
95; 200; 2; 300
135; 200; 2; 300
175; 200; 2; 300
215; 200; 2; 300
255; 200; 2; 300
295; 200; 2; 300
335; 200; 2; 300
375; 200; 2; 300
415; 200; 2; 300
455; 200; 2; 300
15; 224; 4; 200
55; 224; 4; 200
95; 224; 4; 200
135; 224; 4; 200
175; 224; 4; 200
215; 224; 4; 200
255; 224; 4; 200
295; 224; 4; 200
335; 224; 4; 200
375; 224; 4; 200
415; 224; 4; 200
455; 224; 4; 200
15; 248; 7; 100
55; 248; 7; 100
95; 248; 7; 100
135; 248; 7; 100
175; 248; 7; 100
215; 248; 7; 100
255; 248; 7; 100
295; 248; 7; 100
335; 248; 7; 100
375; 248; 7; 100
415; 248; 7; 100
455; 248; 7; 100
